"Country Code","Country Name","Port Name","Facility Name","IMO Port Facility Number","Description","Longitude","Latitude","Plan Approved?","Initial Approval Date","Review Date","SoC Issue Date","Security Plan Withdrawn?","Withdrawn Date","Last Updated"
"SWE","Sweden","Agnesberg","Skrotfrag AB","SEAGB-0001","Bulk carrier, Other cargo ship","0120100E","575000N","True","01/07/2004 00:00:00","07/10/2021 00:00:00","04/02/2016 00:00:00","False","","07/10/2021 10:05:15"
"SWE","Sweden","Ahus","Åhus hamn och stuveri AB","SEAHU-0001","Bulk and other types of ships","0141900E","555600S","True","28/05/2009 00:00:00","08/03/2022 00:00:00","","False","","23/03/2026 08:36:51"
"SWE","Sweden","Ala","Ala hamn","SEALA-0001","General Cargo","0171000E","611300N","True","27/11/2009 00:00:00","19/12/2025 00:00:00","","False","","19/12/2025 17:22:42"
"SWE","Sweden","Alvenas","Älvenäs Hamn","SEALN-0001","Other cargo ship","0131055W","592204N","True","15/12/2017 00:00:00","13/01/2025 00:00:00","","False","","14/01/2025 23:03:37"
"SWE","Sweden","Amal","Åmåls Djuphamn","SEAMA-0002","Bulk carrier, other cargo ship","0124254E","590255N","True","14/04/2023 00:00:00","","","False","","17/12/2024 15:12:25"
"SWE","Sweden","Backviken","Bäckviken","SEBAC-0001","Passenger ships","0124300E","555400N","True","03/06/2010 00:00:00","26/11/2020 00:00:00","","False","","14/12/2020 11:00:15"
"SWE","Sweden","Balsta","Bålsta Gyproc AB","SEBAA-0002","Bulk","0173000E","593500N","True","01/07/2004 00:00:00","13/11/2025 00:00:00","","False","","17/02/2026 18:17:14"
"SWE","Sweden","Balsta","Cementa Bålstadepå","SEBAA-0001","Bulk","0173300E","593300N","True","01/07/2004 00:00:00","28/05/2022 00:00:00","","False","","31/05/2022 12:20:37"
"SWE","Sweden","Barsebackshamn","Barsebäcksverkets hamn","SEBBH-0001","General cargo","0124500E","554500N","True","01/06/2009 00:00:00","23/05/2024 00:00:00","","False","","03/09/2024 10:16:42"
"SWE","Sweden","Bergs oljehamn","Bergs oljehamn","SEBER-0001","Oil, Chemical","0180300E","591900N","True","20/12/2019 00:00:00","10/12/2022 00:00:00","","False","","03/01/2023 08:56:06"
"SWE","Sweden","Bollstabruk","Bollsta SCA","SEBOL-0001","General cargo, Bulk, Forestry prod.","0175600E","625200N","True","01/07/2004 00:00:00","20/08/2020 00:00:00","","False","","06/08/2024 06:11:35"
"SWE","Sweden","Degerhamn","Degerhamns industrihamn","SEDEG-0001","Oil tankers, Bulk and other types of ships","0162500E","562100N","True","16/06/2009 00:00:00","15/05/2025 00:00:00","","False","","16/05/2025 10:24:09"
"SWE","Sweden","Elleholm","Elleholms hamn","SEELL-0001","Bulk and other types of ships","0144500E","560900N","True","28/12/2010 00:00:00","09/10/2025 00:00:00","","False","","09/10/2025 11:52:27"
"SWE","Sweden","Falkenberg","Falkenbergs Terminal","SEFAG-0002","Bulk carrier, Other cargo ship, chemical tanker","0123000E","565300N","True","01/07/2004 00:00:00","23/02/2022 00:00:00","10/06/2015 00:00:00","False","","23/02/2022 15:11:11"
"SWE","Sweden","Falkenberg","Falkvarv","SEFAG-0001","Shipyard, all types of ships","0123000E","585300N","True","01/07/2004 00:00:00","08/06/2026 00:00:00","26/03/2013 00:00:00","False","","10/06/2026 21:59:04"
"SWE","Sweden","Flivik","Flivik Berghamn","SEFLI-0001","Bulk and other types of ships","0165800E","575400N","True","22/05/2006 00:00:00","09/12/2025 00:00:00","","False","","09/12/2025 10:26:01"
"SWE","Sweden","Forsmark","Forsmark","SEFOR-0002","General cargo","0181000E","602300N","True","01/04/2023 00:00:00","13/01/2026 00:00:00","","False","","13/01/2026 12:40:54"
"SWE","Sweden","Gavle","Billerud Gävle - Råvarukaj","SEGVX-0003","Oil, Bulk, Chem","0171600E","604100N","True","01/07/2004 00:00:00","12/03/2026 00:00:00","","False","","12/03/2026 09:23:42"
"SWE","Sweden","Gavle","Bulkterminalen, kajplats 16 (sligen)","SEGVX-0046","Bulk","0171300E","604100N","True","31/05/2017 00:00:00","27/05/2026 00:00:00","","False","","28/05/2026 06:40:51"
"SWE","Sweden","Gavle","Bulkterminalen, kajplats 4-14","SEGVX-0045","Bulk","0171300E","604100N","True","31/05/2017 00:00:00","27/05/2026 00:00:00","","False","","28/05/2026 06:38:43"
"SWE","Sweden","Gavle","Containerterminalen","SEGVX-0048","Bulk","0171300E","604100N","True","25/02/2020 00:00:00","27/05/2026 00:00:00","","False","","28/05/2026 06:43:02"
"SWE","Sweden","Gavle","Kaj 1","SEGVX-0010","Chemicals & Oil","0171270E","604130N","True","01/07/2004 00:00:00","08/05/2026 00:00:00","","False","","10/05/2026 21:10:30"
"SWE","Sweden","Gavle","Kaj 27","SEGVX-0009","Oil","0171370E","604155N","True","01/07/2004 00:00:00","08/05/2026 00:00:00","","False","","10/05/2026 21:13:47"
"SWE","Sweden","Gavle","Terminal Granudden, kajplats 301-303","SEGVX-0047","Bulk","0171400E","604100N","True","31/05/2017 00:00:00","27/05/2026 00:00:00","","False","","28/05/2026 06:46:38"
"SWE","Sweden","Goteborg","APM Terminals Gothenburg AB","SEGOT-0091","Passenger ship, Bulk carrier, Other cargo ship","0115129E","574134N","True","01/07/2010 00:00:00","12/12/2025 00:00:00","","False","","12/12/2025 12:37:53"
"SWE","Sweden","Goteborg","Dalanäs Depå, Stena Oil AB","SEGOT-0128","Oil- and chemical tanker","0115500E","574200N","True","03/10/2011 00:00:00","13/07/2026 00:00:00","","False","","14/07/2026 12:43:05"
"SWE","Sweden","Goteborg","Gotenius Varv","SEGOT-0009","Shipyard, all types of ships","0115700E","574200N","True","01/07/2004 00:00:00","27/10/2025 00:00:00","","False","","30/10/2025 15:27:03"
"SWE","Sweden","Goteborg","Gothenburg International Auto & Roro Terminal AB","SEGOT-0170","General Cargo","0115200E","574100N","True","02/02/2026 00:00:00","02/02/2026 00:00:00","02/02/2026 00:00:00","False","","02/02/2026 14:13:57"
"SWE","Sweden","Goteborg","Gothenburg Ro-Ro Terminal","SEGOT-0094","Passenger ship, Bulk and other cargo ship","0115000E","574150N","True","01/07/2010 00:00:00","22/01/2025 00:00:00","18/03/2011 00:00:00","False","","22/12/2025 09:45:17"
"SWE","Sweden","Goteborg","KAJ 260 Marieholm","SEGOT-0169","Bulk","0111100E","111100N","True","10/03/2023 00:00:00","10/03/2023 00:00:00","","False","","29/10/2024 14:47:44"
"SWE","Sweden","Goteborg","Kaj 262 Marieholm","SEGOT-0167","Bulk and other types of  cargo ship.","0120000E","574400N","True","17/10/2023 00:00:00","17/10/2023 00:00:00","","False","","17/10/2023 14:54:20"
"SWE","Sweden","Goteborg","Kaj 644","SEGOT-0088","Oil tanker, Chemical tanker","0115066E","574163N","True","01/07/2010 00:00:00","22/12/2025 00:00:00","","False","","22/12/2025 12:48:05"
"SWE","Sweden","Goteborg","Kaj 751","SEGOT-0090","Passenger ship, Bulk carrier, Other cargo ship","0111100E","581100N","True","01/07/2010 00:00:00","17/12/2025 00:00:00","","False","","17/12/2025 12:30:47"
"SWE","Sweden","Goteborg","Kaj 752","SEGOT-0168","Bulk, Other cargo ship, Passenger ship","0115800E","574229N","True","14/06/2022 00:00:00","17/12/2025 00:00:00","","False","","17/12/2025 12:31:16"
"SWE","Sweden","Goteborg","Kaj 812 Vikan Kross","SEGOT-0021","Bulk carrier, Other cargo ship","0115700E","574200N","True","01/07/2004 00:00:00","14/04/2025 00:00:00","","False","","23/04/2025 11:22:47"
"SWE","Sweden","Goteborg","Majnabbe","SEGOT-0012","Passenger ship, Passenger HSC, Other cargo ship","0115700E","574200N","True","01/07/2004 00:00:00","22/05/2025 00:00:00","","False","","31/08/2025 18:54:09"
"SWE","Sweden","Goteborg","Masthugget","SEGOT-0014","Passenger ship, Passenger HSC, Other cargo ship","0115700E","574200N","True","01/07/2004 00:00:00","19/07/2022 00:00:00","","False","","31/01/2024 12:19:47"
"SWE","Sweden","Goteborg","Östra Piren","SEGOT-0025","Other cargo ship (Tug)","0111100E","111100N","True","28/01/2008 00:00:00","08/08/2024 00:00:00","","False","","24/09/2024 13:21:25"
"SWE","Sweden","Goteborg","Skarvik/Rya","SEGOT-0089","Oil tanker, Chemical tanker","0115275E","574147N","True","01/07/2010 00:00:00","22/12/2025 00:00:00","18/03/2011 00:00:00","False","","22/12/2025 12:47:37"
"SWE","Sweden","Goteborg","Stigbergskajen","SEGOT-0019","Passenger ship, Other cargo ship","0115700E","574200N","True","01/07/2004 00:00:00","30/06/2025 00:00:00","","False","","30/06/2025 14:05:03"
"SWE","Sweden","Goteborg","Torshamnen","SEGOT-0020","Oil tanker, Chemical tanker","0115700E","574200N","True","01/07/2004 00:00:00","04/12/2025 00:00:00","12/01/2016 00:00:00","False","","04/12/2025 14:44:51"
"SWE","Sweden","Grisslehamn","Grisslehamn","SEGRH-0001","Ferry","0184890E","600592N","True","01/07/2004 00:00:00","22/12/2022 00:00:00","","False","","15/02/2024 12:04:13"
"SWE","Sweden","Gruvon","Billerud Sweden AB, Gruvöns Bruk","SEGRU-0001","Dry cargo, Other cargo ship","0130700E","592000N","True","01/07/2004 00:00:00","25/06/2026 00:00:00","","False","","25/06/2026 09:13:35"
"SWE","Sweden","Hallstavik","Hallsta Pappersbruk","SEHAK-0001","Bulk","0183600E","600300N","True","01/07/2004 00:00:00","24/06/2022 00:00:00","","False","","16/06/2022 12:07:52"
"SWE","Sweden","Halmstad","Inre Hamnen","SEHAD-0010","Bulk and other types of ships, Passenger","0125100E","544000N","True","03/02/2012 00:00:00","22/11/2021 00:00:00","","False","","16/01/2026 11:51:16"
"SWE","Sweden","Halmstad","Kattegatterminalen","SEHAD-0005","Passenger, Bulk and other types of ships.","0125100E","544000N","True","03/02/2012 00:00:00","22/11/2021 00:00:00","","False","","16/01/2026 11:49:59"
"SWE","Sweden","Halmstad","Oljekajen","SEHAD-0011","Oil tankers and chemical tankers.","0125100E","563900N","True","16/12/2016 00:00:00","22/11/2021 00:00:00","","False","","16/01/2026 11:47:18"
"SWE","Sweden","Hargshamn","Hargs hamn","SEHAN-0001","Bulk/General cargo","0182800E","601000N","True","01/07/2004 00:00:00","27/04/2026 00:00:00","","False","","28/04/2026 11:26:04"
"SWE","Sweden","Harnosand","Härnösands hamn Djuphamnen","SEHND-0004","General cargo, bulk, pax","0175600E","623800N","True","28/09/2018 00:00:00","15/01/2026 00:00:00","","False","","15/01/2026 17:45:13"
"SWE","Sweden","Harnosand","Härnösands Hamn Oljehamn","SEHND-0005","Oil, chem, bulk","0175600E","623800N","True","28/09/2018 00:00:00","15/01/2026 00:00:00","","False","","15/01/2026 17:46:00"
"SWE","Sweden","Hasselbyverket/Stockholm","Hässelbyverkets Hamnterminal","SEHBV-0001","Bulk, Dry cargo, oil.","0174800E","592200N","True","01/07/2004 00:00:00","09/05/2025 00:00:00","","False","","14/01/2026 22:35:31"
"SWE","Sweden","Helsingborg","Helsingborg Bulkhamn","SEHEL-0001","Chemical tankers, Bulk and other types of ships.","0124100E","560300N","True","30/06/2009 00:00:00","05/05/2026 00:00:00","","False","","07/05/2026 08:48:59"
"SWE","Sweden","Helsingborg","Norra hamnen / Cityhamnen","SEHEL-0047","Passenger ships and other types of ships.","0124129E","560215N","True","17/04/2013 00:00:00","05/07/2024 00:00:00","","False","","19/07/2024 13:21:16"
"SWE","Sweden","Helsingborg","Öresundslinjen Helsingborg AB","SEHEL-0005","Passenger ships","0124100E","560300N","True","21/05/2014 00:00:00","02/06/2025 00:00:00","","False","","03/06/2025 08:36:38"
"SWE","Sweden","Helsingborg","Sundbusserne","SEHEL-0040","Passenger ships including HSC","0124100E","560200N","True","05/07/2010 00:00:00","28/04/2026 00:00:00","","False","","13/05/2026 06:54:12"
"SWE","Sweden","Helsingborg","Västhamnen / Sydhamnen","SEHEL-0009","Passenger, Bulk, Oil, Chemical and other types of ships.","0124100E","560300N","True","05/06/2009 00:00:00","05/07/2024 00:00:00","","False","","19/07/2024 13:10:29"
"SWE","Sweden","Hoganas","Höganäs AB Industrihamn","SEHOG-0001","Bulk and other types of ships","0123300E","561200N","True","27/05/2009 00:00:00","12/05/2025 00:00:00","","False","","12/05/2025 11:06:28"
"SWE","Sweden","Hudiksvall","Hexatronic Cables & Interconnect Systems AB","SEHUV-0001","General Cargo","0170700E","614300S","True","01/07/2004 00:00:00","17/02/2025 00:00:00","","False","","05/03/2025 13:22:36"
"SWE","Sweden","Husum","Husum hamn","SEHUS-0006","General cargo, oiltanker","0191000E","632000N","True","01/07/2004 00:00:00","14/11/2024 00:00:00","","False","","19/11/2024 11:27:12"
"SWE","Sweden","Iggesund","Iggesund Skärnäs","SEIGG-0001","General cargo, Container, Forestry prod.","0170500W","613900N","True","01/07/2004 00:00:00","10/07/2026 00:00:00","","False","","10/07/2026 13:10:08"
"SWE","Sweden","Jatterson","Jättersön","SEJAT-0001","Bulk carrier, Other cargo ships, chemical tanker","0163300E","570500N","True","29/06/2010 00:00:00","11/10/2024 00:00:00","","False","","15/10/2024 09:26:20"
"SWE","Sweden","Kalix","Kalix Hamn","SEKAX-0002","General cargo, Pulp, Pulpwood, Bulk","0231600E","654700N","True","01/07/2004 00:00:00","28/01/2026 00:00:00","","False","","03/02/2026 12:49:24"
"SWE","Sweden","Kalmar","Barlastholmen / Finngrundet / Tjärhovet","SEKLR-0001","Bulk carrier and other types of ships","0162200E","564000N","True","24/06/2009 00:00:00","28/11/2025 00:00:00","","False","","01/12/2025 12:46:01"
"SWE","Sweden","Kalmar","Oljehamnen","SEKLR-0002","Oil tankers, chemical tankers","0162200E","654000N","True","24/06/2009 00:00:00","28/11/2025 00:00:00","","False","","01/12/2025 12:44:14"
"SWE","Sweden","Kalmar","Södra Kvarnholmen","SEKLR-0003","Passenger ships including HSC","0162200E","564000N","True","24/06/2009 00:00:00","28/11/2025 00:00:00","","False","","01/12/2025 12:47:21"
"SWE","Sweden","Kapellskar","Kapellskärs Hamn","SEKPS-0001","General cargo, Ferry","0190400E","594300N","True","01/07/2004 00:00:00","16/03/2026 00:00:00","","False","","14/06/2026 19:58:23"
"SWE","Sweden","Karlshamn","Kölöhamnen","SEKAN-0001","Oil tanker, other type of ships","0145200E","561000N","True","22/06/2009 00:00:00","30/01/2026 00:00:00","","False","","30/01/2026 09:12:02"
"SWE","Sweden","Karlshamn","Oxhaga","SEKAN-0002","Oil tanker and gas carrier","0145200E","561000N","True","05/06/2009 00:00:00","29/04/2025 00:00:00","","False","","29/04/2025 14:10:30"
"SWE","Sweden","Karlshamn","Stilleryd","SEKAN-0006","Bulk and other types of ship","0145200E","561000N","True","05/06/2009 00:00:00","21/05/2025 00:00:00","","False","","21/05/2025 09:11:30"
"SWE","Sweden","Karlshamn","Sutudden","SEKAN-0004","Oil tanker and chemical tanker.","0145200E","561000N","True","05/06/2009 00:00:00","29/04/2025 00:00:00","","False","","29/04/2025 13:21:35"
"SWE","Sweden","Karlshamn","Västra kajen","SEKAN-0005","Bulk, Oil tanker, Chemical tanker and other types of ships","0145200E","561000N","True","28/05/2009 00:00:00","21/07/2025 00:00:00","","False","","21/07/2025 12:49:27"
"SWE","Sweden","Karlskrona","Färjeterminalen Karlskrona","SEKAA-0003","Ropax and Dry cargo (General cargo)","0153600E","561000N","True","13/02/2012 00:00:00","29/05/2026 00:00:00","","False","","29/05/2026 12:17:36"
"SWE","Sweden","Karlskrona","Handelshamnen","SEKAA-0004","Other types of ships, passengership, oiltanker","0153600E","561000N","True","28/05/2009 00:00:00","31/10/2025 00:00:00","","False","","31/10/2025 11:14:40"
"SWE","Sweden","Karlskrona","Kungsbron","SEKAA-0006","Passenger ships","0153600E","561000N","True","28/05/2009 00:00:00","31/10/2025 00:00:00","","False","","31/10/2025 11:10:09"
"SWE","Sweden","Karlskrona","NKT INDUSTRIKAJ","SEKAA-0001","Bulk and other types of ships","0153600E","561000N","True","28/05/2009 00:00:00","20/06/2022 00:00:00","","False","","01/07/2022 11:08:32"
"SWE","Sweden","Karlskrona","Verkö kaj 1","SEKAA-0008","Oil tanker, Bulk and other types of ships","0153754E","560942N","True","28/05/2009 00:00:00","31/10/2025 00:00:00","","False","","31/10/2025 12:04:20"
"SWE","Sweden","Karlstad","Karlstad Handelshamn","SEKSD-0001","Bulk carrier, Other cargo ship","0133169E","592196N","True","01/07/2004 00:00:00","23/05/2022 00:00:00","","False","","04/07/2022 12:20:48"
"SWE","Sweden","Karlstad","Karlstad Oljehamn","SEKSD-0004","Oil tanker","0133225E","592192N","True","01/07/2009 00:00:00","06/12/2021 00:00:00","","False","","06/12/2021 14:41:44"
"SWE","Sweden","Klintehamn","Klintehamn","SEKLI-0001","Bulk","0181100E","572200N","True","01/07/2004 00:00:00","05/03/2025 00:00:00","","False","","06/03/2025 11:25:12"
"SWE","Sweden","Koping","Köping Silokaj","SEKOG-0006","bulk, chem","0160000E","593100N","True","01/07/2004 00:00:00","01/07/2026 00:00:00","","False","","01/07/2026 11:34:52"
"SWE","Sweden","Koping","Köpings Energihamn","SEKOG-0002","Oil, chem","0160000E","593100N","True","01/07/2004 00:00:00","21/05/2026 00:00:00","","False","","29/05/2026 12:41:44"
"SWE","Sweden","Koping","Köpings Hamn","SEKOG-0003","Bulk, chem","0160000E","593100N","True","01/07/2004 00:00:00","21/05/2026 00:00:00","","False","","29/05/2026 12:42:17"
"SWE","Sweden","Koping","Nordkalks Industrihamn","SEKOG-0001","Bulk","0160000E","593100N","True","01/07/2004 00:00:00","04/12/2025 00:00:00","04/12/2025 00:00:00","False","","04/12/2025 15:15:18"
"SWE","Sweden","Kristinehamn","Kristinehamn","SEKHN-0001","Bulk carrier, Other cargo ship","0140526E","591886N","True","01/07/2004 00:00:00","06/12/2021 00:00:00","30/11/2014 00:00:00","False","","06/12/2021 14:19:21"
"SWE","Sweden","Kubikenborg","Kubikenborg KUBAL","SEKUB-0001","Bulk","0172000E","622500N","True","01/07/2004 00:00:00","08/06/2026 00:00:00","","False","","08/06/2026 13:12:47"
"SWE","Sweden","Landskrona","Landskrona hamn","SELAA-0001","Bulk and other types of ships","0125000E","555200N","True","01/06/2009 00:00:00","27/11/2024 00:00:00","13/02/2018 00:00:00","False","","06/12/2024 16:32:01"
"SWE","Sweden","Landskrona","Oresund Drydocks AB","SELAA-0002","Shipyard","0125000E","555200N","True","01/04/2010 00:00:00","16/04/2025 00:00:00","","False","","22/04/2025 12:47:14"
"SWE","Sweden","Lidkoping","Kållands ö varv Trelle","SELDK-0003","Shipyard, all types of ships","0130923E","584138N","True","31/05/2011 00:00:00","15/12/2021 00:00:00","31/05/2011 00:00:00","False","","15/12/2021 10:14:17"
"SWE","Sweden","Lidkoping","Lidköpings hamn","SELDK-0002","Bulk carrier, Other cargo ship","0130900E","583000N","True","01/07/2004 00:00:00","06/12/2021 00:00:00","30/11/2014 00:00:00","False","","06/12/2021 14:02:13"
"SWE","Sweden","Loten","Jehander Löten Munsö","SELOT-0001","Bulk","0173520E","592470N","True","18/08/2017 00:00:00","13/07/2022 00:00:00","18/08/2017 00:00:00","False","","13/01/2023 12:32:57"
"SWE","Sweden","Lulea","Cementa","SELLA-0020","Bulk","0221000E","653500N","True","30/04/2014 00:00:00","25/09/2022 00:00:00","25/09/2022 00:00:00","False","","15/05/2024 13:33:10"
"SWE","Sweden","Lulea","Sandskär","SELLA-0018","Oil","0221000E","653500N","True","30/04/2014 00:00:00","25/09/2022 00:00:00","25/09/2022 00:00:00","False","","15/05/2024 13:35:06"
"SWE","Sweden","Lulea","Södra hamnen","SELLA-0021","Cruise","0221000E","653500N","True","13/07/2021 00:00:00","25/09/2022 00:00:00","25/09/2022 00:00:00","False","","15/05/2024 13:36:30"
"SWE","Sweden","Lulea","Svartökajen","SELLA-0019","General cargo, Government ship Cruise liner","0221000E","653500N","True","30/04/2014 00:00:00","25/09/2022 00:00:00","25/09/2022 00:00:00","False","","15/05/2024 13:37:38"
"SWE","Sweden","Lulea","Uddebo Oljehamn","SELLA-0017","Oil","0221000E","653500N","True","30/04/2014 00:00:00","25/09/2022 00:00:00","25/09/2022 00:00:00","False","","15/05/2024 13:39:27"
"SWE","Sweden","Lulea","Victoriahamnen","SELLA-0016","General cargo, Bulk","0221000E","653500N","True","30/04/2014 00:00:00","25/09/2022 00:00:00","25/09/2022 00:00:00","False","","05/04/2023 13:00:01"
"SWE","Sweden","Lysekil","Bastevikskajen","SELYS-0009","Bulk carrier, Other cargo ship","0112600E","581600N","True","17/07/2017 00:00:00","04/01/2023 00:00:00","","False","","18/03/2024 12:10:53"
"SWE","Sweden","Lysekil","Grötö Kaj","SELYS-0010","Bulk carrier, Other cargo ship","0112652E","581627N","True","14/05/2020 00:00:00","10/06/2025 00:00:00","","False","","10/06/2025 14:52:55"
"SWE","Sweden","Lysekil","Grötö rev","SELYS-0011","Passenger ship, Other cargo ship","0112728E","581620N","True","13/05/2020 00:00:00","10/06/2025 00:00:00","","False","","10/06/2025 14:53:22"
"SWE","Sweden","Lysekil","Lahälla","SELYS-0008","Other cargo ship (Tug)","0112686E","582145N","True","24/03/2010 00:00:00","03/06/2024 00:00:00","","False","","24/09/2024 13:19:29"
"SWE","Sweden","Lysekil","Produktkajen - Brofjordens Hamn","SELYS-0007","Oil tanker, chem.tanker, gas carrier","0112600E","581600N","True","01/07/2004 00:00:00","04/01/2023 00:00:00","","False","","04/07/2023 14:42:00"
"SWE","Sweden","Lysekil","Råoljekajen - Brofjordens Hamn","SELYS-0006","Oil tanker","0112600E","581600N","True","01/07/2004 00:00:00","04/01/2023 00:00:00","","False","","04/07/2023 14:41:26"
"SWE","Sweden","Malmo","Frihamnen","SEMMA-0003","Buk and other types of ships including HSC (other types of ships), passengerships","0130000E","553700N","True","12/01/2012 00:00:00","15/04/2026 00:00:00","","False","","16/04/2026 09:16:52"
"SWE","Sweden","Malmo","Heidelbergkajen","SEMMA-0059","Bulk and other types of ships","0130000E","553700N","True","05/10/2011 00:00:00","15/04/2026 00:00:00","","False","","16/04/2026 08:58:03"
"SWE","Sweden","Malmo","Industrihamnen","SEMMA-0029","Buk and other types of ships including HSC, Oiltanker, Gas carrier","0130000E","553700N","True","24/01/2012 00:00:00","15/04/2026 00:00:00","","False","","16/04/2026 08:53:02"
"SWE","Sweden","Malmo","Kaj 521","SEMMA-0005","Bulk and other types of ships","0130000E","553700N","True","24/01/2012 00:00:00","15/04/2026 00:00:00","","False","","16/04/2026 09:02:25"
"SWE","Sweden","Malmo","Norra Hamnen","SEMMA-0058","Passenger, Bulk and other types of ships","0130000E","553700N","True","12/01/2012 00:00:00","23/03/2026 00:00:00","","False","","23/03/2026 13:58:57"
